LATITUDE,LONGITUDE,STATE,LOCALITY,SUBLOCALITY,POSTCODE,PROPERTY_CATEGORY
40.6171535,-74.0890497,New York,New York,Staten Island,10301,building
40.6179636,-73.9681702,New York,New York,Brooklyn,11230,building
40.6170275,-74.0893192,New York,New York,Staten Island,10301,building
40.7142299,-73.8152,New York,New York,Queens,11435,building
40.6511537,-73.8284146,New York,New York,Queens,11414,building
40.8492324,-73.8914043,New York,New York,The Bronx,10457,
40.7185125,-73.834819,New York,New York,Queens,11375,building
40.759972,-73.9173868,New York,New York,Queens,11103,building
40.5742632,-74.086609,New York,New York,Staten Island,10305,building
40.6694978,-73.8897534,New York,New York,Brooklyn,11207,building
40.6789582,-73.9203193,New York,New York,Brooklyn,11233,building
40.593404,-73.775651,New York,New York,Queens,11691,building
40.6743408,-73.9056237,New York,New York,Brooklyn,11212,commercial;rental.storage
40.8457524,-73.9059682,New York,New York,The Bronx,10457,building
40.902657,-73.901871,New York,New York,Riverdale,10471,
40.699454,-73.924234,New York,New York,Brooklyn,11221,building
40.7833319,-73.9815796,New York,New York,Manhattan,10024,building
40.7639241,-73.9190583,New York,New York,Queens,11103,building
40.8233271,-73.8110122,New York,New York,The Bronx,10465,building
40.6415965,-73.9105958,New York,New York,Brooklyn,11236,building
40.8409818,-73.8292936,New York,New York,The Bronx,10461,building
40.5586967,-74.1351001,New York,New York,Staten Island,10306,building.residential
40.8554764,-73.8287193,New York,New York,The Bronx,10461,building
40.6747343,-73.8239749,New York,New York,Queens,11420,building
40.6109595,-74.060351,New York,New York,Staten Island,10305,building
40.6012318,-74.1300175,New York,New York,Staten Island,10314,building
40.608799,-73.9128174,New York,New York,Brooklyn,11234,building.residential
40.6221107,-74.1499982,New York,New York,Graniteville,10314,
40.5528489,-74.1699382,New York,New York,Staten Island,10312,building.residential
40.6428139,-73.9451438,New York,New York,Brooklyn,11203,building
40.6330671,-74.1659477,New York,New York,Staten Island,10303,building.residential
40.7083753,-73.787158,New York,New York,Queens,11432,building
40.546573,-74.213449,New York,New York,Staten Island,10309,building.residential
40.5956263,-73.933927,New York,New York,Brooklyn,11229,building
40.6633466,-73.8542803,New York,New York,Queens,11414,
40.8762047,-73.8603621,New York,New York,The Bronx,10467,building
40.784332,-73.8045713,New York,New York,Queens,11357,building
40.6426635,-74.1108512,New York,New York,Staten Island,10310,building
40.6316141,-74.0858954,New York,New York,Staten Island,10304,building.residential
40.6402886,-73.9463493,New York,New York,Brooklyn,11226,building
40.6198659,-74.0087151,New York,New York,Brooklyn,11228,building
40.846624,-73.8520911,New York,New York,The Bronx,10461,building
40.6142391,-74.0884134,New York,New York,Staten Island,10304,building
